location name,nws shef id,usgs id,latitude,longitude,wfo,rfc,state,county,wrr,timezone,inundation,elevation,action stage,flood stage,moderate flood stage,major flood stage,flood stage unit,coeid,hydrograph page,pedts,in service,hemisphere,low water threshold value / units,forecast status,display low water impacts,low flow display,give data attribution,attribution wording,fema wms,probabilistic site,weekly chance probabilistic enabled,short-term probabilistic enabled,chance of exceeding probabilistic enabled,nrldb vertical datum name,nrldb vertical datum,navd88 vertical datum,ngvd29 vertical datum,msl vertical datum,other vertical datum
Cheyenne River above Angostura at Hwy 71,AACS2,,43.30577,-103.562797,UNR,MBRFC,SD,Fall River,,MST7MDT,FALSE,,3206,3207,3209,3211,ft,,https://water.noaa.gov/gauges/AACS2,HGIRG,TRUE,, ,Forecasts are not available. Only observed stages are available for this point.,TRUE,FALSE,TRUE,SD DANR,,FALSE,FALSE,FALSE,FALSE,NAVD88,0,,,,
Williamson Creek at Manchaca Road at Austin,AAIT2,8158930,30.22111111,-97.79333333,EWX,WGRFC,TX,Travis,,CST6CDT,FALSE,,-9999,13,14,18,ft,,https://water.noaa.gov/gauges/AAIT2,HGIRG,TRUE,, ,"Graphical forecasts are not available during times of high water, forecast crest information can be found in the local WFO web page.",FALSE,FALSE,TRUE,US Geological Survey,,FALSE,FALSE,FALSE,FALSE,,,,,,
Antler River below Antler Lake near Auke Bay,AAKA2,15055500,58.85194444,-134.7086111,AJK,APRFC,AK,Juneau,,AST9ADT,FALSE,,32.5,33.5,34.5,-9999,ft,,https://water.noaa.gov/gauges/AAKA2,HGIRZ,TRUE,, ,Forecasts are not available. Only observed stages are available for this point.,FALSE,FALSE,TRUE,Observatons courtesy of the US Geological Survey,,FALSE,FALSE,FALSE,FALSE,STND,0,,,,
San Francisco Bay  Alameda tide gage,AAMC1,,37.771667,-122.298333,MTR,CNRFC,CA,Alameda,,PST8PDT,FALSE,,-9999,-9999,-9999,-9999,ft,,https://water.noaa.gov/gauges/AAMC1,HMIRG,TRUE,, ,"Graphical forecasts are not available during times of high water, forecast crest information can be found in the local WFO web page.",FALSE,FALSE,TRUE,NOAA/NOS,,FALSE,FALSE,FALSE,FALSE,,,,,,
Peachtree Creek at Atlanta,AANG1,2336300,33.82030556,-84.40763889,FFC,SERFC,GA,Fulton,,EST5EDT,FALSE,,13,17,18,20,ft,,https://water.noaa.gov/gauges/AANG1,HGIRG,TRUE,,0 ft,"Forecasts are issued as needed during times of high water, but are not routinely available.",FALSE,FALSE,TRUE,US Geological Survey,,TRUE,TRUE,TRUE,TRUE,NAVD88,764.13,,,,
Alabaha River at GA Highway 203 near Blackshear,ABAG1,2227270,31.37527778,-82.28888889,JAX,SERFC,GA,Pierce,,EST5EDT,FALSE,,7,9,12,14,ft,,https://water.noaa.gov/gauges/ABAG1,HGIRG,TRUE,,1.2 ft,Forecasts are not available. Only observed stages are available for this point.,FALSE,FALSE,TRUE,US Geological Survey,,FALSE,FALSE,FALSE,FALSE,,,,,,
Hubbard Creek below Albany,ABAT2,8086212,32.73277778,-99.14027778,SJT,WGRFC,TX,Shackelford,,CST6CDT,FALSE,,32,35,38,43,ft,,https://water.noaa.gov/gauges/ABAT2,HGIRG,TRUE,, ,"Forecasts are issued as needed during times of high water, but are not routinely available.",FALSE,FALSE,TRUE,US Geological Survey,,TRUE,TRUE,TRUE,TRUE,,,,,,
Ocmulgee River at Abbeville,ABBG1,2215260,31.99666667,-83.27916667,FFC,SERFC,GA,Wilcox,,EST5EDT,FALSE,,10,12,14,18,ft,,https://water.noaa.gov/gauges/ABBG1,HGIRG,TRUE,,0 ft,"Forecasts are issued as needed during times of high water, but are not routinely available.",FALSE,FALSE,TRUE,US Geological Survey,,TRUE,TRUE,TRUE,TRUE,NAVD88,161.4,,,,
Cedar Creek (IN) at 18th Street Auburn,ABBI3,4179520,41.36,-85.0491,IWX,OHRFC,IN,De Kalb,,EST5EDT,FALSE,,6,9,10,12,ft,,https://water.noaa.gov/gauges/ABBI3,HGIRG,TRUE,, ,Forecasts are not available. Only observed stages are available for this point.,FALSE,FALSE,TRUE,the USGS (04179520),,FALSE,FALSE,FALSE,FALSE,NAVD88,843.5,,,,
Abbotts Creek near Lexington,ABBN7,2121500,35.80694444,-80.23472222,RAH,SERFC,NC,Davidson,,EST5EDT,FALSE,,14,16,23,31,ft,,https://water.noaa.gov/gauges/ABBN7,HGIRG,TRUE,, ,Forecasts are not available. Only observed stages are available for this point.,FALSE,FALSE,TRUE,US Geological Survey,,FALSE,FALSE,FALSE,FALSE,NAVD88,618.26,,,,
Craig Creek at Broad Run near New Castle,ABBV2,,37.451517,-80.112736,RNK,MARFC,VA,Craig,,EST5EDT,FALSE,,-9999,-9999,-9999,-9999,ft,,https://water.noaa.gov/gauges/ABBV2,HGIRG,TRUE,, ,Forecasts are issued routinely year-round.,FALSE,FALSE,TRUE,Observations courtesy of the VDEM Flood Intel Unit,,FALSE,FALSE,FALSE,FALSE,NAVD88,1308,,,,
Buttahatchie River near Aberdeen,ABDM6,2439400,33.79,-88.31527778,MEG,SERFC,MS,Monroe,,CST6CDT,FALSE,,12,13,22,24,ft,,https://water.noaa.gov/gauges/ABDM6,HGIRG,TRUE,, ,Forecasts are issued routinely year-round.,FALSE,FALSE,TRUE,US Geological Survey,,TRUE,TRUE,TRUE,TRUE,NGVD29,221,,,,
Tombigbee River at Aberdeen Lock and Dam,ABEM6,2437100,33.83,-88.52,MEG,SERFC,MS,Monroe,,CST6CDT,FALSE,,187,188,190,192,ft,,https://water.noaa.gov/gauges/ABEM6,HTIRG,TRUE,, ,Forecasts are issued routinely year-round.,FALSE,FALSE,TRUE,USGS and USACE,,TRUE,TRUE,TRUE,TRUE,NGVD29,150,,,,
"Wheel Creek Near Abingdon, MD",ABGM2,158175320,39.48166667,-76.34055556,LWX,MARFC,MD,Harford,,EST5CDT,FALSE,,-9999,-9999,-9999,-9999,ft,,https://water.noaa.gov/gauges/ABGM2,HGIRG,TRUE,, ,Forecasts are issued routinely year-round.,TRUE,FALSE,TRUE,,,FALSE,FALSE,FALSE,FALSE,NAVD88,0,,,,
Smoky Hill River near Abilene,ABIK1,,38.90638889,-97.28416667,TOP,MBRFC,KS,Dickinson,,CST6CDT,FALSE,,22,27,30,33,ft,,https://water.noaa.gov/gauges/ABIK1,HGIRZ,TRUE,, ,"Forecasts are issued as needed during times of high water, but are not routinely available.",FALSE,FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,NGVD29,1124.12,,,,
Rio Chama at Abiquiu Dam,ABIN5,8286900,36.24,-106.4288889,ABQ,WGRFC,NM,Rio Arriba,,MST7MDT,FALSE,,-9999,-9999,-9999,-9999,ft,,https://water.noaa.gov/gauges/ABIN5,HPIRG,TRUE,, ,"Graphical forecasts are not available during times of high water, forecast crest information can be found in the local WFO web page.",FALSE,FALSE,TRUE,Observations courtesy of U.S. Geological Survey,,FALSE,FALSE,FALSE,FALSE,,,,,,
West Central Texas Lakes at Lake Abilene,ABIT2,8083270,32.23444444,-99.88861111,SJT,WGRFC,TX,Taylor,,CST6CDT,FALSE,,2012.3,-9999,-9999,-9999,ft,,https://water.noaa.gov/gauges/ABIT2,HPIRG,TRUE,, ,Forecasts are not available. Only observed stages are available for this point.,FALSE,FALSE,TRUE,US Geological Survey,,FALSE,FALSE,FALSE,FALSE,,,,,,
Amite River Basin at Bayou Manchac at Alligator Bayou near Kleinpeter,ABKL1,7378746,30.32111111,-91.02083333,LIX,LMRFC,LA,Ascension,,CST6CDT,FALSE,,-9999,-9999,-9999,-9999,ft,,https://water.noaa.gov/gauges/ABKL1,HGIRG,TRUE,, ,"Graphical forecasts are not available during times of high water, forecast crest information can be found in the local WFO web page.",FALSE,FALSE,TRUE,US Geological Survey,,FALSE,FALSE,FALSE,FALSE,NAVD88,0,,,,
Kobuk River at Ambler,ABLA2,15744000,67.08694444,-157.8475,AFG,APRFC,AK,Northwest Arctic,,AST9ADT,FALSE,,41,42.5,45,49,ft,,https://water.noaa.gov/gauges/ABLA2,HGIRV,TRUE,, ,Forecasts are not available. Only observed stages are available for this point.,FALSE,FALSE,TRUE,Observations courtesy of U.S. Geological Survey,,FALSE,FALSE,FALSE,FALSE,NGVD29,30,,,,
Flint River (GA) at Albany,ABNG1,2352500,31.59416667,-84.14416667,TAE,SERFC,GA,Dougherty,,EST5EDT,TRUE,,16,26,31,42,ft,,https://water.noaa.gov/gauges/ABNG1,HGIRG,TRUE,,2 ft,Forecasts are issued routinely year-round.,FALSE,FALSE,TRUE,US Geological Survey,,TRUE,TRUE,TRUE,TRUE,NAVD88,150.03,,,,
Clark Fork River above Missoula,ABOM8,12340500,46.87722222,-113.9313889,MSO,NWRFC,MT,Missoula,,MST7MDT,FALSE,,7,7.5,11,13,ft,,https://water.noaa.gov/gauges/ABOM8,HGIRG,TRUE,, ,Forecasts are issued routinely year-round.,FALSE,FALSE,TRUE,US Geological Survey,,TRUE,TRUE,TRUE,TRUE,,,,,,
Pacheco Creek above Pacheco Reservoir,ABPC1,,37.0867,-121.2876,MTR,CNRFC,CA,Santa Clara,,PST8PDT,FALSE,,-9999,-9999,-9999,-9999,ft,,https://water.noaa.gov/gauges/ABPC1,HGIRG,TRUE,, ,"Graphical forecasts are not available during times of high water, forecast crest information can be found in the local WFO web page.",FALSE,FALSE,TRUE,Santa Clara Valley Water District,,FALSE,FALSE,FALSE,FALSE,,,,,,
